#,"Date Time, GMT+00:00",DOY,"Wetness, % (LGR S/N: 21432090, SEN S/N: 21367120)","Wind Direction, ø (LGR S/N: 21432090, SEN S/N: 21418008)","PAR, µmol/m²/s (LGR S/N: 21432090, SEN S/N: 21420546)","Temp, °C (LGR S/N: 21432090, SEN S/N: 21420856)","RH, % (LGR S/N: 21432090, SEN S/N: 21420856)","Wind Speed, m/s (LGR S/N: 21432090, SEN S/N: 21435605)","Gust Speed, m/s (LGR S/N: 21432090, SEN S/N: 21435605)",,
1,04/01/2023 12:00,4,18.24,57.6,2553.7,0.571,45.539,4.53,8.56,,TIME CORRECTED
2,04/01/2023 12:05,4,20.59,84.2,1231.2,0.759,91.078,4.03,7.55,,
3,04/01/2023 12:10,4,22.35,89.9,1501.2,1.043,88.782,4.53,8.56,,
4,04/01/2023 12:15,4,21.18,75.8,1636.2,1.137,88.269,4.03,9.06,,
5,04/01/2023 12:20,4,19.41,94.1,1501.2,1.116,84.089,6.04,8.56,,
6,04/01/2023 12:25,4,18.24,95.5,1448.7,1.18,85.489,5.03,10.07,,
7,04/01/2023 12:30,4,18.24,91.3,1446.2,1.268,84.785,5.03,9.56,,
8,04/01/2023 12:35,4,17.65,88.4,1346.2,1.397,84.485,4.53,7.55,,
9,04/01/2023 12:40,4,17.06,91.3,1563.7,1.44,82.718,5.54,8.56,,
10,04/01/2023 12:45,4,16.47,85.6,1413.7,1.429,80.435,5.54,9.56,,
11,04/01/2023 12:50,4,16.47,80,1273.7,1.44,82.133,5.03,8.05,,
12,04/01/2023 12:55,4,15.88,81.4,1203.7,1.429,82.306,4.03,8.05,,
13,04/01/2023 13:00,4,15.29,74.4,1328.7,1.63,81.781,3.52,8.05,,
14,04/01/2023 13:05,4,14.71,82.8,1268.7,1.628,80.746,4.53,8.05,,
15,04/01/2023 13:10,4,14.12,85.6,1058.7,1.553,80.308,4.03,7.55,,
16,04/01/2023 13:15,4,14.12,77.2,928.7,1.354,81.814,4.53,7.05,,
17,04/01/2023 13:20,4,13.53,77.2,736.2,1.183,82.181,3.52,6.54,,
18,04/01/2023 13:25,4,12.94,74.4,718.7,1.175,83.217,3.02,6.54,,
19,04/01/2023 13:30,4,12.35,75.8,706.2,1.255,82.737,2.52,6.04,,
20,04/01/2023 13:35,4,12.35,78.6,791.2,1.14,83.005,3.02,5.54,,
21,04/01/2023 13:40,4,11.76,81.4,771.2,1.258,84.837,3.02,6.54,,
22,04/01/2023 13:45,4,11.76,80,876.2,1.223,84.53,3.52,6.54,,
23,04/01/2023 13:50,4,11.76,78.6,906.2,1.073,86.252,3.02,6.54,,
24,04/01/2023 13:55,4,11.18,81.4,911.2,1.003,85.272,3.52,6.54,,
25,04/01/2023 14:00,4,10.59,82.8,831.2,0.923,84.334,4.03,6.54,,
26,04/01/2023 14:05,4,10.59,92.7,778.7,0.839,82.983,4.03,6.54,,
27,04/01/2023 14:10,4,10.59,91.3,846.2,0.888,81.765,4.53,6.54,,
28,04/01/2023 14:15,4,10,94.1,916.2,1.014,82.992,3.02,5.03,,
29,04/01/2023 14:20,4,10,98.3,961.2,1.172,81.27,3.52,5.54,,
30,04/01/2023 14:25,4,9.41,96.9,1041.2,1.432,80.394,3.02,7.05,,
31,04/01/2023 14:30,4,8.24,108.1,1091.2,1.499,82.719,2.01,5.03,,
32,04/01/2023 14:35,4,8.24,98.3,1158.7,1.469,80.784,3.52,5.54,,
33,04/01/2023 14:40,4,7.65,96.9,1163.7,1.654,77.771,3.52,5.54,,
34,04/01/2023 14:45,4,7.65,94.1,1078.7,1.735,78.088,3.02,5.03,,
35,04/01/2023 14:50,4,7.06,101.1,1026.2,1.735,78,3.02,5.54,,
36,04/01/2023 14:55,4,7.06,105.3,1006.2,1.732,76.445,2.01,4.03,,
37,04/01/2023 15:00,4,5.88,21.1,1038.7,2.215,78.645,0.5,2.01,,
38,04/01/2023 15:05,4,5.88,68.8,1003.7,2.526,75.085,0.5,2.52,,
39,04/01/2023 15:10,4,6.47,98.3,941.2,2.483,72.662,1.51,3.52,,
40,04/01/2023 15:15,4,6.47,103.9,966.2,2.633,73.191,0.5,2.52,,
41,04/01/2023 15:20,4,5.29,56.2,1191.2,2.955,72.801,0.5,2.01,,
42,04/01/2023 15:25,4,5.29,0,1158.7,3.384,74.565,0,1.51,,
43,04/01/2023 15:30,4,5.29,352.4,993.7,3.263,72.621,0.5,1.51,,
44,04/01/2023 15:35,4,5.29,18.3,1131.2,2.153,72.992,0.5,2.01,,
45,04/01/2023 15:40,4,5.29,23.9,1206.2,2.716,72.99,0.5,2.01,,
46,04/01/2023 15:45,4,5.29,78.6,1006.2,2.923,74.214,0.5,1.51,,
47,04/01/2023 15:50,4,5.29,54.8,1028.7,3.349,72.096,0.5,2.52,,
48,04/01/2023 15:55,4,5.29,44.9,1231.2,3.617,71.435,0,1.51,,
49,04/01/2023 16:00,4,5.29,113.7,1131.2,3.933,71.012,0,1.51,,
50,04/01/2023 16:05,4,5.29,81.4,1148.7,4.226,70.14,0,1.51,,
51,04/01/2023 16:10,4,5.88,144.6,1011.2,3.941,71.629,0.5,1.51,,
52,04/01/2023 16:15,4,5.29,154.4,1253.7,3.786,73.033,1.01,2.01,,
53,04/01/2023 16:20,4,5.88,157.2,1113.7,3.716,73.504,1.01,2.52,,
54,04/01/2023 16:25,4,5.29,158.6,1173.7,3.649,75.169,1.01,2.52,,
55,04/01/2023 16:30,4,5.88,155.8,1426.2,3.877,74.06,1.01,2.52,,
56,04/01/2023 16:35,4,5.29,132,1436.2,4.295,73.384,0.5,2.01,,
57,04/01/2023 16:40,4,5.29,153,1263.7,4,72.873,1.01,2.52,,
58,04/01/2023 16:45,4,6.47,167.1,998.7,3.78,73.864,1.01,2.52,,
59,04/01/2023 16:50,4,5.88,158.6,831.2,3.161,73.863,1.01,3.02,,
60,04/01/2023 16:55,4,5.88,160,968.7,3.212,73.741,1.01,2.01,,
61,04/01/2023 17:00,4,6.47,150.2,1041.2,3.306,74.926,1.01,2.52,,
62,04/01/2023 17:05,4,6.47,141.8,828.7,3.18,75.918,0.5,2.52,,
63,04/01/2023 17:10,4,6.47,141.8,653.7,2.85,77.005,1.01,3.02,,
64,04/01/2023 17:15,4,7.06,157.2,523.7,2.378,77.9,1.01,2.52,,
65,04/01/2023 17:20,4,7.06,161.5,498.7,2.196,78.61,1.01,2.52,,
66,04/01/2023 17:25,4,6.47,150.2,606.2,2.161,78.914,1.01,2.52,,
67,04/01/2023 17:30,4,7.06,148.8,563.7,2.134,79.336,1.01,2.52,,
68,04/01/2023 17:35,4,7.06,144.6,468.7,2.11,80.05,1.01,2.01,,
69,04/01/2023 17:40,4,7.06,144.6,421.2,1.923,80.983,1.01,3.02,,
70,04/01/2023 17:45,4,7.06,143.2,348.7,1.893,81.794,0.5,2.01,,
71,04/01/2023 17:50,4,7.06,164.3,326.2,1.738,82.739,0.5,2.52,,
72,04/01/2023 17:55,4,7.06,139,271.2,1.673,82.49,0.5,3.02,,
73,04/01/2023 18:00,4,7.06,202.2,223.7,1.603,82.695,1.01,4.03,,
74,04/01/2023 18:05,4,7.06,279.4,193.7,1.132,83.02,3.02,4.53,,
75,04/01/2023 18:10,4,7.06,271,173.7,1.07,84.762,2.52,4.03,,
76,04/01/2023 18:15,4,7.06,282.2,156.2,0.998,84.672,3.52,5.54,,
77,04/01/2023 18:20,4,7.06,266.7,173.7,0.933,85.705,2.52,4.53,,
78,04/01/2023 18:25,4,10,263.9,183.7,1.054,86.569,1.51,4.03,,
79,04/01/2023 18:30,4,10,275.2,183.7,0.925,87.514,3.02,4.53,,
80,04/01/2023 18:35,4,10.59,278,178.7,0.77,88.177,3.02,4.53,,
81,04/01/2023 18:40,4,11.18,269.6,173.7,0.689,89.073,2.01,4.53,,
82,04/01/2023 18:45,4,11.76,279.4,141.2,0.687,88.711,2.01,5.03,,
83,04/01/2023 18:50,4,13.53,279.4,86.2,0.63,89.873,2.01,4.53,,
84,04/01/2023 18:55,4,13.53,275.2,108.7,0.545,90.617,4.03,6.54,,
85,04/01/2023 19:00,4,15.88,278,98.7,0.419,91.598,4.03,5.54,,
86,04/01/2023 19:05,4,18.82,278,71.2,0.217,93.582,3.02,6.04,,
87,04/01/2023 19:10,4,18.24,278,63.7,0.209,94.653,3.02,5.03,,
88,04/01/2023 19:15,4,18.82,265.3,58.7,0.341,95.067,2.01,4.53,,
89,04/01/2023 19:20,4,19.41,272.4,48.7,0.41,95.042,2.52,5.03,,
90,04/01/2023 19:25,4,21.18,265.3,43.7,0.392,95.145,2.01,4.03,,
91,04/01/2023 19:30,4,21.18,108.1,63.7,0.499,95.372,1.01,3.02,,
92,04/01/2023 19:35,4,23.53,263.9,51.2,0.507,95.157,2.52,6.04,,
93,04/01/2023 19:40,4,24.12,261.1,53.7,0.515,95.248,2.52,4.53,,
94,04/01/2023 19:45,4,24.71,247.1,53.7,0.547,95.279,1.51,4.03,,
95,04/01/2023 19:50,4,27.06,263.9,38.7,0.545,95.299,1.01,4.03,,
96,04/01/2023 19:55,4,29.41,276.6,43.7,0.512,95.56,1.51,4.53,,
97,04/01/2023 20:00,4,31.76,143.2,46.2,0.451,95.685,1.01,4.03,,
98,04/01/2023 20:05,4,34.71,172.7,33.7,0.394,95.885,1.01,4.53,,
99,04/01/2023 20:10,4,38.82,161.5,33.7,0.437,96.12,0.5,3.02,,
100,04/01/2023 20:15,4,41.76,168.5,31.2,0.464,96.353,0,2.01,,
101,04/01/2023 20:20,4,44.12,164.3,38.7,0.486,96.416,0.5,2.52,,
102,04/01/2023 20:25,4,44.71,261.1,56.2,0.569,96.492,1.01,4.53,,
103,04/01/2023 20:30,4,44.71,192.3,86.2,0.772,96.408,1.01,3.02,,
104,04/01/2023 20:35,4,44.71,266.7,63.7,0.925,96.172,2.01,4.53,,
105,04/01/2023 20:40,4,44.71,265.3,58.7,1.075,95.622,2.52,5.03,,
106,04/01/2023 20:45,4,44.12,269.6,86.2,1.191,94.768,2.52,4.53,,
107,04/01/2023 20:50,4,44.12,258.3,68.7,1.266,93.472,3.02,5.03,,
108,04/01/2023 20:55,4,43.53,265.3,63.7,1.333,92.398,2.52,4.03,,
109,04/01/2023 21:00,4,42.94,256.9,56.2,1.427,90.988,3.02,5.03,,
110,04/01/2023 21:05,4,42.94,252.7,51.2,1.526,89.67,3.02,5.54,,
111,04/01/2023 21:10,4,42.35,249.9,71.2,1.612,89.65,2.01,5.03,,
112,04/01/2023 21:15,4,41.76,247.1,71.2,1.66,89.073,2.52,5.03,,
113,04/01/2023 21:20,4,41.18,252.7,81.2,1.762,87.887,2.52,5.03,,
114,04/01/2023 21:25,4,40.59,249.9,86.2,1.81,87.643,2.52,5.03,,
115,04/01/2023 21:30,4,38.82,244.3,91.2,1.882,87.1,3.52,6.04,,
116,04/01/2023 21:35,4,37.65,244.3,78.7,1.898,86.784,3.52,5.54,,
117,04/01/2023 21:40,4,36.47,244.3,71.2,1.923,86.383,4.03,6.54,,
118,04/01/2023 21:45,4,35.29,245.7,66.2,1.952,86.319,4.53,7.05,,
119,04/01/2023 21:50,4,34.12,242.9,63.7,1.957,86.349,5.03,7.55,,
120,04/01/2023 21:55,4,32.94,242.9,53.7,1.941,86.149,5.03,7.55,,
121,04/01/2023 22:00,4,31.76,241.5,48.7,1.939,85.869,5.03,8.05,,
122,04/01/2023 22:05,4,30.59,240.1,46.2,1.928,85.85,5.03,8.05,,
123,04/01/2023 22:10,4,29.41,240.1,41.2,1.914,85.837,5.54,8.56,,
124,04/01/2023 22:15,4,29.41,240.1,36.2,1.909,85.457,6.04,9.06,,
125,04/01/2023 22:20,4,28.24,241.5,28.7,1.856,85.48,6.04,8.05,,
126,04/01/2023 22:25,4,27.06,244.3,26.2,1.821,85.711,6.04,8.56,,
127,04/01/2023 22:30,4,25.88,244.3,21.2,1.791,86.253,6.04,8.56,,
128,04/01/2023 22:35,4,25.29,242.9,18.7,1.738,86.925,5.54,8.05,,
129,04/01/2023 22:40,4,24.71,242.9,13.7,1.754,86.647,5.54,8.05,,
130,04/01/2023 22:45,4,23.53,241.5,11.2,1.756,86.424,5.54,7.55,,
131,04/01/2023 22:50,4,22.94,240.1,8.7,1.791,85.945,5.03,8.05,,
132,04/01/2023 22:55,4,22.35,241.5,8.7,1.81,85.399,5.03,7.55,,
133,04/01/2023 23:00,4,22.35,240.1,6.2,1.78,85.721,5.03,8.05,,
134,04/01/2023 23:05,4,21.76,240.1,3.7,1.783,85.965,5.54,8.56,,
135,04/01/2023 23:10,4,21.18,238.7,3.7,1.743,86.354,4.53,6.54,,
136,04/01/2023 23:15,4,20.59,241.5,1.2,1.751,85.985,4.53,6.54,,
137,04/01/2023 23:20,4,20,241.5,1.2,1.767,85.599,5.54,8.05,,
138,04/01/2023 23:25,4,19.41,245.7,1.2,1.738,85.319,6.54,10.07,,
139,04/01/2023 23:30,4,18.24,244.3,1.2,1.748,84.814,7.05,10.07,,
140,04/01/2023 23:35,4,17.65,242.9,1.2,1.746,84.117,7.05,10.07,,
141,04/01/2023 23:40,4,17.06,245.7,1.2,1.746,84.198,6.54,9.56,,
142,04/01/2023 23:45,4,16.47,251.3,1.2,1.671,84.788,6.04,9.56,,
143,04/01/2023 23:50,4,15.88,248.5,1.2,1.657,84.692,7.05,9.56,,
144,04/01/2023 23:55,4,15.29,248.5,1.2,1.622,84.729,6.54,9.56,,
145,05/01/2023 00:00,5,14.71,249.9,1.2,1.617,84.405,7.05,10.07,,
146,05/01/2023 00:05,5,14.71,249.9,1.2,1.595,84.511,7.05,9.56,,
147,05/01/2023 00:10,5,14.71,245.7,1.2,1.574,84.788,7.05,10.07,,
148,05/01/2023 00:15,5,14.71,244.3,1.2,1.628,84.317,6.54,9.56,,
149,05/01/2023 00:20,5,14.71,244.3,1.2,1.628,84.245,7.05,9.56,,
150,05/01/2023 00:25,5,14.12,244.3,1.2,1.622,84.262,7.55,10.57,,
151,05/01/2023 00:30,5,14.12,244.3,1.2,1.638,84.176,8.05,12.08,,
152,05/01/2023 00:35,5,14.12,241.5,1.2,1.641,84.103,7.55,11.07,,
153,05/01/2023 00:40,5,14.12,242.9,1.2,1.652,83.78,7.05,9.56,,
154,05/01/2023 00:45,5,13.53,242.9,1.2,1.59,84.248,6.54,9.56,,
155,05/01/2023 00:50,5,13.53,242.9,1.2,1.628,83.005,7.05,9.56,,
156,05/01/2023 00:55,5,12.94,242.9,1.2,1.595,83.062,7.05,9.56,,
157,05/01/2023 01:00,5,12.94,242.9,1.2,1.577,82.991,6.54,9.56,,
158,05/01/2023 01:05,5,12.94,242.9,1.2,1.59,82.472,6.04,9.56,,
159,05/01/2023 01:10,5,12.94,240.1,1.2,1.582,83.023,5.03,8.05,,
160,05/01/2023 01:15,5,12.94,238.7,1.2,1.59,83.081,4.03,7.55,,
161,05/01/2023 01:20,5,12.94,245.7,1.2,1.55,83.391,3.52,6.04,,
162,05/01/2023 01:25,5,12.94,242.9,1.2,1.553,83.684,3.02,4.53,,
163,05/01/2023 01:30,5,12.94,241.5,1.2,1.555,84.134,3.52,6.04,,
164,05/01/2023 01:35,5,12.94,238.7,1.2,1.547,84.431,4.03,6.54,,
165,05/01/2023 01:40,5,12.35,240.1,1.2,1.528,84.555,5.03,9.56,,
166,05/01/2023 01:45,5,12.35,237.3,1.2,1.55,83.969,6.54,10.57,,
167,05/01/2023 01:50,5,12.35,235.9,1.2,1.52,84.138,6.04,9.56,,
168,05/01/2023 01:55,5,12.35,241.5,1.2,1.486,84.727,6.04,9.06,,
169,05/01/2023 02:00,5,12.35,242.9,1.2,1.496,84.157,6.54,9.56,,
170,05/01/2023 02:05,5,12.35,241.5,1.2,1.469,84.19,6.54,9.56,,
171,05/01/2023 02:10,5,12.35,244.3,1.2,1.461,83.873,6.04,9.56,,
172,05/01/2023 02:15,5,11.76,241.5,1.2,1.469,83.58,5.54,8.56,,
173,05/01/2023 02:20,5,11.76,241.5,1.2,1.469,83.674,6.04,8.56,,
174,05/01/2023 02:25,5,11.76,247.1,1.2,1.512,82.564,6.54,10.07,,
175,05/01/2023 02:30,5,11.76,248.5,1.2,1.555,82.356,7.55,10.57,,
176,05/01/2023 02:35,5,11.76,245.7,1.2,1.531,83.041,7.05,11.07,,
177,05/01/2023 02:40,5,11.76,244.3,1.2,1.518,83.114,7.55,10.57,,
178,05/01/2023 02:45,5,11.76,245.7,1.2,1.523,83.122,7.05,10.07,,
179,05/01/2023 02:50,5,11.18,244.3,1.2,1.507,83.662,7.05,10.57,,
180,05/01/2023 02:55,5,11.18,245.7,1.2,1.547,83.088,7.55,11.07,,
181,05/01/2023 03:00,5,11.18,248.5,3.7,1.539,83.445,6.54,9.56,,
182,05/01/2023 03:05,5,11.76,247.1,3.7,1.536,83.973,6.54,9.56,,
183,05/01/2023 03:10,5,11.76,242.9,3.7,1.545,84.396,5.54,9.06,,
184,05/01/2023 03:15,5,11.76,240.1,8.7,1.553,84.146,5.54,8.56,,
185,05/01/2023 03:20,5,11.18,242.9,8.7,1.569,83.969,5.54,8.56,,
186,05/01/2023 03:25,5,11.18,247.1,11.2,1.539,83.796,6.04,8.56,,
187,05/01/2023 03:30,5,11.18,248.5,13.7,1.547,83.937,6.04,8.56,,
188,05/01/2023 03:35,5,11.76,242.9,18.7,1.536,84.094,6.04,8.56,,
189,05/01/2023 03:40,5,11.18,242.9,21.2,1.515,83.857,6.54,10.57,,
190,05/01/2023 03:45,5,11.76,248.5,26.2,1.477,83.36,7.55,9.56,,
191,05/01/2023 03:50,5,11.18,244.3,31.2,1.437,83.436,7.55,12.08,,
192,05/01/2023 03:55,5,11.18,241.5,33.7,1.432,83.569,7.05,10.07,,
193,05/01/2023 04:00,5,11.18,248.5,36.2,1.445,83.51,7.55,11.07,,
194,05/01/2023 04:05,5,11.18,247.1,41.2,1.464,83.493,8.56,11.58,,
195,05/01/2023 04:10,5,11.18,247.1,46.2,1.491,83.029,7.05,9.56,,
196,05/01/2023 04:15,5,11.18,247.1,48.7,1.52,83.616,7.05,10.07,,
197,05/01/2023 04:20,5,11.18,248.5,53.7,1.499,83.977,6.04,9.06,,
198,05/01/2023 04:25,5,11.18,244.3,58.7,1.547,83.424,6.54,10.57,,
199,05/01/2023 04:30,5,11.18,249.9,66.2,1.603,82.457,7.05,9.56,,
200,05/01/2023 04:35,5,11.18,245.7,68.7,1.595,82.388,7.05,10.57,,
201,05/01/2023 04:40,5,11.18,247.1,76.2,1.504,82.475,6.54,9.56,,
202,05/01/2023 04:45,5,11.18,247.1,76.2,1.467,82.921,6.04,8.05,,
203,05/01/2023 04:50,5,11.18,252.7,81.2,1.44,83.351,6.54,9.56,,
204,05/01/2023 04:55,5,11.18,248.5,88.7,1.429,83.764,6.54,10.57,,
205,05/01/2023 05:00,5,11.18,244.3,93.7,1.539,82.123,7.55,10.57,,
206,05/01/2023 05:05,5,11.18,247.1,96.2,1.545,82.559,7.05,9.56,,
207,05/01/2023 05:10,5,11.18,245.7,96.2,1.528,83.032,7.05,10.57,,
208,05/01/2023 05:15,5,11.18,248.5,101.2,1.52,82.942,7.05,10.07,,
209,05/01/2023 05:20,5,11.18,249.9,113.7,1.558,82,7.05,9.06,,
210,05/01/2023 05:25,5,11.18,245.7,128.7,1.646,80.601,7.55,10.57,,
211,05/01/2023 05:30,5,11.18,248.5,161.2,1.7,80.409,6.54,9.06,,
212,05/01/2023 05:35,5,11.18,249.9,178.7,1.7,80.769,7.05,10.07,,
213,05/01/2023 05:40,5,11.18,247.1,176.2,1.708,80.494,7.55,11.58,,
214,05/01/2023 05:45,5,11.18,244.3,146.2,1.783,78.477,6.54,10.57,,
215,05/01/2023 05:50,5,11.18,245.7,291.2,1.797,78.242,5.54,8.56,,
216,05/01/2023 05:55,5,11.18,248.5,376.2,1.856,77.707,6.54,9.56,,
217,05/01/2023 06:00,5,11.18,247.1,393.7,1.904,77.606,6.54,9.56,,
218,05/01/2023 06:05,5,11.18,251.3,413.7,1.901,77.859,8.05,11.07,,
219,05/01/2023 06:10,5,11.18,251.3,433.7,1.901,77.668,8.05,11.07,,
220,05/01/2023 06:15,5,11.18,248.5,458.7,1.939,77.252,8.05,11.58,,
221,05/01/2023 06:20,5,11.18,242.9,481.2,1.925,78.46,7.55,11.58,,
222,05/01/2023 06:25,5,11.18,244.3,498.7,1.931,78.906,6.54,9.56,,
223,05/01/2023 06:30,5,11.18,240.1,521.2,1.925,78.799,7.55,12.08,,
224,05/01/2023 06:35,5,11.18,242.9,551.2,1.96,78.631,7.55,10.57,,
225,05/01/2023 06:40,5,11.18,245.7,568.7,2.027,77.879,7.55,11.07,,
226,05/01/2023 06:45,5,11.18,241.5,596.2,2.027,78.106,7.55,10.07,,
227,05/01/2023 06:50,5,11.18,242.9,618.7,2.054,76.51,8.05,12.58,,
228,05/01/2023 06:55,5,11.18,242.9,646.2,2.14,75.105,7.55,11.07,,
229,05/01/2023 07:00,5,11.18,244.3,671.2,2.217,74.385,7.55,11.07,,
230,05/01/2023 07:05,5,11.18,245.7,693.7,2.239,74.952,7.55,11.07,,
231,05/01/2023 07:10,5,11.18,245.7,726.2,2.207,74.83,8.56,11.58,,
232,05/01/2023 07:15,5,11.18,245.7,743.7,2.234,75.386,8.05,11.07,,
233,05/01/2023 07:20,5,11.18,242.9,768.7,2.231,75.781,7.55,11.07,,
234,05/01/2023 07:25,5,11.18,249.9,791.2,2.327,76.123,6.04,9.56,,
235,05/01/2023 07:30,5,11.18,248.5,761.2,2.408,76.236,6.04,8.56,,
236,05/01/2023 07:35,5,11.18,248.5,818.7,2.4,76.53,6.54,10.07,,
237,05/01/2023 07:40,5,11.18,251.3,868.7,2.319,78.558,7.05,11.07,,
238,05/01/2023 07:45,5,11.18,249.9,913.7,2.341,79.001,7.55,10.57,,
239,05/01/2023 07:50,5,11.18,251.3,953.7,2.37,78.454,8.05,11.07,,
240,05/01/2023 07:55,5,11.18,248.5,988.7,2.469,77.266,8.56,11.58,,
241,05/01/2023 08:00,5,11.18,248.5,948.7,2.542,76.333,7.55,11.58,,
242,05/01/2023 08:05,5,11.18,249.9,1016.2,2.593,76.584,8.56,11.58,,
243,05/01/2023 08:10,5,11.18,249.9,1031.2,2.593,77.079,8.05,11.07,,
244,05/01/2023 08:15,5,11.18,248.5,1061.2,2.609,76.957,8.05,12.08,,
245,05/01/2023 08:20,5,11.18,248.5,1076.2,2.574,76.216,9.06,12.08,,
246,05/01/2023 08:25,5,11.18,247.1,1098.7,2.636,76.587,8.56,12.08,,
247,05/01/2023 08:30,5,11.18,248.5,1123.7,2.692,77.157,8.05,11.58,,
248,05/01/2023 08:35,5,11.18,249.9,1148.7,2.751,77.023,6.54,9.06,,
249,05/01/2023 08:40,5,10,241.5,1188.7,2.786,75.451,6.54,8.56,,
250,05/01/2023 08:45,5,10,238.7,1216.2,2.668,74.559,6.54,9.06,,
251,05/01/2023 08:50,5,10,237.3,1258.7,2.668,75.428,6.54,9.06,,
252,05/01/2023 08:55,5,9.41,240.1,1276.2,2.73,75.453,6.04,9.06,,
253,05/01/2023 09:00,5,9.41,241.5,1311.2,2.89,75.88,6.04,9.06,,
254,05/01/2023 09:05,5,9.41,240.1,1341.2,2.866,74.751,7.05,10.57,,
255,05/01/2023 09:10,5,9.41,247.1,1476.2,3.094,75.444,6.04,9.06,,
256,05/01/2023 09:15,5,8.82,245.7,1623.7,3.365,75.926,6.04,9.56,,
257,05/01/2023 09:20,5,8.24,241.5,1773.7,3.225,73.838,6.54,9.56,,
258,05/01/2023 09:25,5,8.82,240.1,1068.7,2.888,75.358,6.54,10.07,,
259,05/01/2023 09:30,5,8.24,238.7,1458.7,2.856,75.691,7.05,11.07,,
260,05/01/2023 09:35,5,8.24,242.9,1603.7,3.215,76.301,5.54,8.05,,
261,05/01/2023 09:40,5,8.24,247.1,1661.2,3.494,77.144,5.03,8.56,,
262,05/01/2023 09:45,5,9.41,242.9,693.7,3.271,76.968,4.03,6.54,,
263,05/01/2023 09:50,5,8.82,240.1,568.7,2.671,78.245,4.03,6.04,,
264,05/01/2023 09:55,5,8.82,245.7,1011.2,2.976,77.739,4.03,6.04,,
265,05/01/2023 10:00,5,8.82,245.7,613.7,2.923,77.987,3.02,5.03,,
266,05/01/2023 10:05,5,8.82,261.1,618.7,3.049,77.064,3.52,6.04,,
267,05/01/2023 10:10,5,8.82,272.4,611.2,3.006,77.496,3.52,5.54,,
268,05/01/2023 10:15,5,8.82,266.7,528.7,2.971,78.207,3.02,6.04,,
269,05/01/2023 10:20,5,8.82,263.9,513.7,2.944,78.776,2.52,5.03,,
270,05/01/2023 10:25,5,8.82,259.7,481.2,2.979,79.692,2.01,4.53,,
271,05/01/2023 10:30,5,8.82,266.7,506.2,2.947,79.071,2.52,4.53,,
272,05/01/2023 10:35,5,8.82,259.7,596.2,3.014,79.823,3.52,6.54,,
273,05/01/2023 10:40,5,8.24,265.3,1221.2,3.075,81.456,3.52,6.04,,
274,05/01/2023 10:45,5,8.24,265.3,1556.2,3.668,80.966,3.52,7.05,,
275,05/01/2023 10:50,5,8.24,258.3,1413.7,3.545,81.552,4.53,8.56,,
276,05/01/2023 10:55,5,8.24,255.5,1811.2,3.419,82.724,5.54,7.55,,
277,05/01/2023 11:00,5,8.82,261.1,1668.7,3.668,83.565,5.03,7.05,,
278,05/01/2023 11:05,5,8.24,262.5,1403.7,3.4,84.24,5.03,7.55,,
279,05/01/2023 11:10,5,8.82,265.3,1251.2,3.335,84.331,5.03,7.05,,
280,05/01/2023 11:15,5,8.82,268.1,1006.2,3.335,84.45,4.03,6.04,,
281,05/01/2023 11:20,5,8.82,262.5,696.2,3.116,85.318,4.03,6.04,,
282,05/01/2023 11:25,5,8.82,258.3,511.2,2.909,86.177,3.02,4.53,,
283,05/01/2023 11:30,5,8.82,256.9,526.2,2.885,86.236,2.52,4.53,,
284,05/01/2023 11:35,5,8.82,252.7,551.2,2.821,85.895,3.52,6.04,,
285,05/01/2023 11:40,5,8.82,248.5,633.7,2.797,85.731,3.02,5.03,,
286,05/01/2023 11:45,5,8.82,249.9,823.7,3.083,84.353,3.02,5.03,,
287,05/01/2023 11:50,5,8.82,238.7,831.2,3.204,81.552,3.02,5.54,,
288,05/01/2023 11:55,5,7.65,244.3,1093.7,3.335,80.36,3.02,4.53,,
289,05/01/2023 12:00,5,5.88,251.3,1931.2,3.995,78.553,4.03,6.04,,
290,05/01/2023 12:05,5,5.88,247.1,1803.7,4.236,77.018,4.53,7.05,,
291,05/01/2023 12:10,5,5.88,248.5,1946.2,4.636,75.506,4.03,7.05,,
292,05/01/2023 12:15,5,5.88,255.5,1996.2,4.78,76.454,5.03,7.55,,
293,05/01/2023 12:20,5,6.47,254.1,1871.2,4.531,77.18,5.54,8.56,,
294,05/01/2023 12:25,5,6.47,254.1,1803.7,4.335,78.981,6.04,9.06,,
295,05/01/2023 12:30,5,7.06,261.1,1531.2,4.247,79.925,6.54,9.56,,
296,05/01/2023 12:35,5,7.06,262.5,1473.7,3.963,81.28,6.04,8.05,,
297,05/01/2023 12:40,5,5.88,258.3,2066.2,4.419,80.41,5.54,9.06,,
298,05/01/2023 12:45,5,7.06,254.1,1408.7,4.448,79.971,5.54,8.56,,
299,05/01/2023 12:50,5,7.06,251.3,1231.2,3.821,82.675,5.03,7.55,,
300,05/01/2023 12:55,5,6.47,247.1,1868.7,3.89,83.494,5.54,7.05,,
301,05/01/2023 13:00,5,6.47,248.5,1916.2,4.18,82.702,5.54,7.55,,
302,05/01/2023 13:05,5,6.47,249.9,1821.2,4.515,81.967,5.03,7.55,,
303,05/01/2023 13:10,5,6.47,255.5,1931.2,4.542,81.186,4.53,7.05,,
304,05/01/2023 13:15,5,5.88,255.5,1951.2,4.625,81.048,4.53,6.54,,
